Professor,Keywords
Robert Radwin,
Robert Radwin,Electromyograms; Grip force; Hand and arm vibration; Power hand tools; Reaction force; Upper extremity cumulative trauma disorders
Robert Radwin,Carpal tunnel syndrome; Cumulative trauma disorders; Grip force; Hand and arm vibration; Power hand tools; Tonic vibration reflex
Leyuan Shi,Approximation algorithm; electron beam inspection (EBI); mixed-integer linear programming (MILP); partial covering optimization; wafer defect inspection
Leyuan Shi,
Leyuan Shi,Assembly shop; Car sequencing; Meta-heuristic; MILP; Paint shop; Painted body storage
Leyuan Shi,Lot streaming; production planning; variable neighborhood search (VNS); workload balancing (WB)
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,cutting stock; flow shop; integrated scheduling; make-to-order; nested partitions
Leyuan Shi,Complex job shop scheduling; genetic programming; nested partition; non-identical job sizes; stochastic simulation
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,approximation algorithm; batch machine; constraint programming; incompatible job families; total weighted completion time
Leyuan Shi,Evolutionary optimization; Green transportation; Multi-objective optimization; Transportation scheduling
Leyuan Shi,Extreme value analysis; Global optimization; Metaheuristic algorithm; Partition-based random search
Leyuan Shi,batch machine; incompatible job families; order makespan; order scheduling; total weighted order completion time
Leyuan Shi,Completion time; hybrid nested partitions; linearization; order scheduling
Leyuan Shi,Batch processing machine; Flow shop; Limited waiting time; Makespan
Leyuan Shi,batch processor; differential evolution; flow shop; limited buffer; total completion time
Leyuan Shi,Expected opportunity cost; Sequential procedure; Simulation budget allocation; Simulation optimization
Leyuan Shi,Exploration and exploitation; sequential procedure; simulation budget allocation; simulation optimization
Leyuan Shi,Harmony search; Memetic algorithms; Nonlinear mixed integer programming; Supply chain scheduling
Leyuan Shi,
Leyuan Shi,budget allocation; Feasibility determination; kriging; ranking and selection; simulation optimization
Leyuan Shi,beam angle selection; IMRT; machine learning; nested partitions
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Bi-level evolutionary algorithm; Bi-level programming; Production and distribution; Supply chain scheduling
Leyuan Shi,Design of algorithms; Heuristic algorithm; Packing problem; Recursive
Leyuan Shi,Dynamic emergency logistics planning; Heuristic; Multi-period multi-commodity network flows; Nested partitions
Leyuan Shi,
Leyuan Shi,Opportunity cost; ranking and selection; sequential procedure; simulation optimization
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Facility location; Large-scale optimization; Metaheuristic; Nested partitions; Production planning; Supply chain management; Supply chain optimization
Leyuan Shi,Heuristics; nonlinear mixed integer programming; radiation therapy planning; volumetric-modulated arc therapy (VMAT)
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Global optimization; Optimal sample allocation; Partition-based random search
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Gradient-based methods; Nested partitions method; Optimal computing budget allocation (OCBA); Ranking and selection; Simulation optimization
Leyuan Shi,Advanced manufacturing; Healthcare; Laser processing; Optical communication; Precision collaboration
Leyuan Shi,
Leyuan Shi,Data mining; Decision making; Local pickup and delivery; Logistics; Optimization
Leyuan Shi,
Leyuan Shi,Backlogging; Lot sizing; Progressive time-oriented decomposition heuristic; Setup carryover
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Capacitated multi-level lot-sizing; Linear programming; MIP-based interval heuristic; Relax-and-fix
Leyuan Shi,Flow shop scheduling; Manufacturing systems; Manufacturing systems engineering; Optimisation; Resource planning; Scheduling
Leyuan Shi,
Leyuan Shi,Capacitated multi-level lot sizing; Facility location; Inventory and lot sizing; Relax-and-fix; Shortest route
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Backlogging; Capacitated; Lot-sizing; Lower and upper bound guided nested partitions; Multi-level
Leyuan Shi,lot sizing; optimisation; OR; production planning
Leyuan Shi,Emergency supply; Lagrangian relaxation (LR); location selection; scheduling
Leyuan Shi,computing budget allocation; discrete-event systems; ranking and selection; simulation optimization; simulation-based decision making
Leyuan Shi,Lower bound; metaheuristic algorithms; nested partitions; solution value prediction
Leyuan Shi,
Leyuan Shi,Container terminal; Dynamic programming; Storage location; Transportation
Leyuan Shi,Capacitated multi-item lot sizing; column generation; DantzigWolfe decomposition; nested partitions; relax-and-fix
Leyuan Shi,Autonomy; distributed control; dynamic modeling; production systems
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Berth allocation; Container terminals; Crane scheduling; Lagrangian relaxation; Sub-gradient
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Classification; Decision trees; Machine learning; Optimization
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,IMRT planning; Machine learning; OAR complications; Rectal bleeding; Saliva flow rate
Leyuan Shi,"Health care; Planning; Programming, integer, algorithms, heuristic; Treatment"
Leyuan Shi,Analysis; Control; Production
Leyuan Shi,Dispatching rules; Job shop; Nested partitions
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Model checking; Model translation validation; PrT Nets; SAM architecture; Spin; Tool support
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Examination timetabling; Mathematical programming; Preprocessing; Symmetry breaking
Leyuan Shi,Discrete facility location problem; Discrete optimization problem; Mathematical programming; Nested partitions; Pickup and delivery problem
Leyuan Shi,
Leyuan Shi,Control; Dynamic model; Production
Leyuan Shi,Branch-and-bound; Constraint programming; Dynamic programming; Hybrid algorithms
Leyuan Shi,Branch-and-bound (BB); Dynamic programming (DP); Earliness-tardiness (E-T); Single-machine
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Approximate solution approaches; Assignment process; Rejections and reassignments
Leyuan Shi,Combinatorial optimization; Scheduling; Time-indexing
Leyuan Shi,Composite criteria; IMRT planning; Multiplan framework; Pre-emptive selection; Quadratic modeling
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Min-max sequencing; Scheduling; Single machine
Leyuan Shi,
Leyuan Shi,Branch-and-bound; Hard instances; One-machine; Scheduling
Leyuan Shi,
Leyuan Shi,Mixed integer linear programming; Nested partitions; Nonhomogeneous resources; Pickup and delivery; Time windows
Leyuan Shi,
Leyuan Shi,Branch and bound; Isotonic regression; Scheduling; Timetabling; Weighted completion time (WCT)
Leyuan Shi,
Leyuan Shi,Global optimization; Markov chain; Multi-homogenous Bézout number; Variable partitions
Leyuan Shi,Local search; Scheduling; Tabu search (TS)
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Sample path analysis; Stochastic convexity
Leyuan Shi,Adaptive sampling; Ordinal comparison; Stochastic optimization
Leyuan Shi,
Leyuan Shi,Conjoint Analysis; Heuristics; Marketing; Optimization; Product Design
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Optimization; Parallel algorithm; Randomized algorithm; Traveling salesman problem
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Optimization; Simulation
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,Customer loss; Finite capacity; QNA; Queueing networks; Two-parameter approximation
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,
Leyuan Shi,discrete event dynamic systems; gradient surface; likelihood ratios; perturbation analysis; response surface; single-run optimization; stochastic optimization
Leyuan Shi,DEDS; IPA; performance analysis
Nicole Werner,Caregivers; Constraints; Dementia; Patient work system; Strategy
Nicole Werner,configural diagram; dementia caregiving; epistemic network analysis; ergonomics tools and methods; Socio-technical system interactions
Nicole Werner,Caregiving; education; hospital; older adults; training
Nicole Werner,Care transitions; Emergency department; Macroergonomics; Mental models; Older adults; Skilled nursing facility
Nicole Werner,caregivers; continuity of patient care; patient discharge; patient readmission; transitional care
Nicole Werner,
Nicole Werner,acute care; Alzheimer’s disease; caregiver needs; caregiving; decision making; dementia; emergency department; primary care
Nicole Werner,Ergonomics; Human factors; Patient work; Sociotechnical system; Work system
Nicole Werner,Dementia caregiving; Health information technology; Sociotechnical systems
Nicole Werner,Dementia; Family caregivers; Technology
Nicole Werner,Care transitions; Emergency department; Older adults; Sociotechnical systems; Work systems
Nicole Werner,Behavior; Caregiving-Informal; Dementia; Neuropsychiatric Symptoms
Nicole Werner,Dementia caregiving; Human factors engineering; Patient work
Nicole Werner,care transitions; dashboard; discharge planning; malpractice claims; measure development; patient safety
Nicole Werner,Chronic illness; Personal health information management; Sociotechnical systems; Virtual reality
Nicole Werner,acute illness; caregiving; dementia; emergency department; primary care
Nicole Werner,Heart failure; Hospital discharge; Human Factors Engineering; Patient safety; Self-care; Self-management
Nicole Werner,human factors; nurses; patient safety; qualitative research; transitions in care
Nicole Werner,
Nicole Werner,chronic illness; Distributed cognition; patient work system; personal health information management
Nicole Werner,caregiver support; dementia caregiving; disparities; women caregivers
Nicole Werner,associate activation; interrupted task performance; Interruptions; spreading activation
Nicole Werner,
Nicole Werner,Frail elderly; Home care agencies; Medication management; Process; Sociotechnical system; System boundaries; Transitional care; Work system
Nicole Werner,elderly; geriatrics; home health; hospital discharge; human factors; Medical devices
Nicole Werner,
Nicole Werner,
Nicole Werner,
Nicole Werner,
Nicole Werner,Alzheimer’s disease; Consumer health informatics; Dementia; Family caregivers; Information seeking; Sociotechnical aspects of information technology
Nicole Werner,Expert performance; Interruptions; Long-term working memory; Reading comprehension; Working memory
Nicole Werner,Individual differences; Interference management; Interruptions; Resumption lag; Working-memory capacity
Nicole Werner,
Nicole Werner,
Nicole Werner,
Nicole Werner,Care transitions; Human engineering; Human factors and ergonomics; Patient discharge
Nicole Werner,care transitions; communication; frail elderly; home health care; human factors engineering; qualitative research; teamwork
Nicole Werner,Interruptions; Long-term working memory; Memory; Reading comprehension; Recognition
Nicole Werner,
Nicole Werner,
Nicole Werner,Checklist; pediatrics; resuscitation; wounds and injuries
Nicole Werner,medication error; Patient safety; pharmacy; task analysis
Douglas Wiegmann,human error; human factors; patient safety; root cause analysis; system analysis
Douglas Wiegmann,Clinical decision support; Electronic health record; Falls; Geriatric emergency medicine; Human-centered design; Implementation; Risk stratification
Douglas Wiegmann,Clinical decision support; Emergency medicine; Human factors engineering; Usability evaluation; Workflow integration
Douglas Wiegmann,Flow disruptions; Health care; Systematic review; Work system deviations
Douglas Wiegmann,Clinical decision support; Emergency department; Health IT; Usability; Workflow integration
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,cancer survivorship; cancer work limitations; return to work; working during cancer treatment
Douglas Wiegmann,Breast cancer; Employment; Ergonomics; Symptom management; Usage; Web-based
Douglas Wiegmann,Communication; Intraoperative hand-offs; Teamwork; Transitions in care
Douglas Wiegmann,Active failures; Latent conditions; Patient safety; Root cause analysis; Systems change
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Clinical; Decision making; Decision support; Diagnostic errors; Emergency department; Human factors
Douglas Wiegmann,Error management; Human factors; Laparoscopic ventral hernia repair; Simulation; Surgical error; Surgical performance
Douglas Wiegmann,content analysis; Primary care; teamwork
Douglas Wiegmann,Deliberate practice; Objective performance assessment; Practice-Based Learning and Improvement; Surgical skill
Douglas Wiegmann,
Douglas Wiegmann,complexity; patient safety; social network analysis; Team adaptation
Douglas Wiegmann,surgery
Douglas Wiegmann,care plan use; survivor knowledge; survivor satisfaction; survivorship care plans
Douglas Wiegmann,Communication; Familiarity; Operating room; Teams
Douglas Wiegmann,clinical decision support; emergency department; pulmonary embolism; User-centered design
Douglas Wiegmann,Complexity; Patient safety; Social network analysis; Team adaptation
Douglas Wiegmann,event reporting; HFACS; incident reporting; patient safety
Douglas Wiegmann,Complications; Elderly; Failure to rescue; Outcomes; Quality care; Trauma
Douglas Wiegmann,continuous professional development; surgical coaching
Douglas Wiegmann,
Douglas Wiegmann,CVOR; error analysis; HFACS; human error; latent failures
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Education behavior; Flow disruptions; Human factors; Surgical education; Work system
Douglas Wiegmann,
Douglas Wiegmann,Accessibility; Activation methods; Take-off; Tapping; Touchscreen
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Assessment; Decision-making; Laparoscopy; Simulation; Surgical education; Surgical error
Douglas Wiegmann,job satisfaction; radiology workflow; workflow dynamics
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,error management; error recovery; laparoscopy; Medical Knowledge; Patient Care; Practice-Based Learning and Improvement; simulation; surgical education
Douglas Wiegmann,
Douglas Wiegmann,Quality measures-patient care; Root cause analysis: Essential elements
Douglas Wiegmann,Classification; HFACS; Human-error; Inter-rater reliability; Intra-rater reliability
Douglas Wiegmann,accommodation; cancer survivor; Content analysis; technology and tools; working during active treatment
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Error analysis; HFACS; Human error
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Bottleneck; continuous-time Markov chain (CTMC); emergency care; flow disruptions; surgery
Douglas Wiegmann,Assessment; Exit assessment; Exit examination; Operative independence; Resident readiness; Surgical education
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Breastcancer; Late effects; Survivorknowledge; Survivorship care plans
Douglas Wiegmann,
Douglas Wiegmann,employment; Older cancer survivors; retirement; survivorship; work
Douglas Wiegmann,bottleneck; continuous time Markov chain; Emergency care; flow disruptions; surgery
Douglas Wiegmann,disability; force; performance; touch screen; workload
Douglas Wiegmann,
Douglas Wiegmann,Accident investigation; HFACS; Human error; Human factors; Incident investigation; Quality management; System safety
Douglas Wiegmann,Disruptions; Error; Handoff; Human factors; Safety; Transition; Trauma
Douglas Wiegmann,Intensive Care Unit; Organization and administration; Tele-nursing
Douglas Wiegmann,Disability; Performance; Touch screen
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,disability; force; impulse; touch screen
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Error; Safety; Surgery
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Cardiopulmonary bypass; Equipment; Patient safety; Perfusion
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Communication; Error; Human factors; Patient safety; Teamwork
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Automation; Decision aids; Reliance; Trust
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,3D; Human factors; Power system operations and planning; Power system visualization
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Aging; Automation; Decision making
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Animation; Human factors; Power system operations and planning; Power system visualization
Douglas Wiegmann,
Douglas Wiegmann,Data visualization; Power systems; Realtime operations; Reducing blackout risk
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Information processing; Medication errors; Perceptual errors
Douglas Wiegmann,Aircraft accidents; Autopsy; Crashworthiness; Injuries
Douglas Wiegmann,Autopsy; Helicopter accidents; Injuries; Survivability
Douglas Wiegmann,Contouring; Human factors; Power system operations and planning; Voltage visualization
Douglas Wiegmann,Choice behavior; Flower constancy; Foraging; Negative incentive contrast
Douglas Wiegmann,
Douglas Wiegmann,Aircrew; Cardiovascular disease; Coronary artery disease
Douglas Wiegmann,Contouring; Human factors; Power system operations and planning; Voltage visualization
Douglas Wiegmann,contouring; human factors; Power system operations and planning; voltage visualization
Douglas Wiegmann,Color; Costs; Data visualization; Displays; Human factors; Power system dynamics; Power systems; Sun; USA Councils; Voltage
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Accident analysis; Aeronautical decision making
Douglas Wiegmann,
Douglas Wiegmann,Accident investigation; Aviation safety; Commercial aviation
Douglas Wiegmann,Automation reliability; Contrast efficient; Diagnostic aids; Trust
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,
Douglas Wiegmann,Human factors; Power system visualization
Douglas Wiegmann,
Douglas Wiegmann,Discrimination; Foraging; Relational learning; Transposition
Douglas Wiegmann,Automation; Diagnostic aids; Feedback lag
Douglas Wiegmann,
Douglas Wiegmann,Accident investigation; Crew resource management; Military aviation
Shiyu Zhou,degradation model; imperfect maintenance; multivariate stochastic dependence; Recurrent event model
Shiyu Zhou,Event prediction; Gaussian process (GP) modulated Poisson process; inhomogeneous Poisson processes; multi-output Gaussian convolution processes; variational inference
Shiyu Zhou,B-spline regression; Bayesian updating; Degradation modeling; Environmental covariates; Remaining useful life estimation
Shiyu Zhou,convolution process; multivariate Gaussian process; Negative transfer; pairwise models; regularization
Shiyu Zhou,deep learning; event logs; event prediction; survival analysis
Shiyu Zhou,Alerting; Asthma; Health information system; Internet of things; Patient adherence
Shiyu Zhou,Gaussian process; landmark; MCMC; Shifting functional data
Shiyu Zhou,customer service process; event sequence; online monitoring; Outlier detection
Shiyu Zhou,Clustering; Data models; Informatics; Maintenance engineering; Maintenance records; Natural Language Processing; Oils; Semantics; Task analysis; Taxonomy; Taxonomy
Shiyu Zhou,compact model; field-effect transistor; Reduced graphene oxide; sensitivity analysis
Shiyu Zhou,Endogenous noise; Key performance indicator; Manufacturing; Pair-copula; Stochastic optimization
Shiyu Zhou,association; copula; correlated events; Event prediction; survival models
Shiyu Zhou,Bayesian score; Graphical models; multistage manufacturing process; ordered block model; structure learning
Shiyu Zhou,Bayesian linear random effects' model; process variation; sparsity; variation source identification
Shiyu Zhou,B-splines; condition monitoring; monotone degradation path; Remaining useful life
Shiyu Zhou,Design science; Health information system; Health IT; Healthcare data analytics; Smart asthma management
Shiyu Zhou,Bayesian updating; event prediction; frailty model; proportional intensity; recurrent event data analysis
Shiyu Zhou,Flake image; Inkjet printing process; Random coverage; Statistical quality control; Two-dimensional material
Shiyu Zhou,Bias reduction; compressed sensing; L1-norm minimization; natural frequencies; structural damage identification
Shiyu Zhou,Decision making; Field-effect transistor; Graphene oxide; Inkjet printing; Poisson process; Spatial statistics
Shiyu Zhou,joint multivariate distribution; Key performance indicator; manufacturing production systems; pair-copula
Shiyu Zhou,multivariate Gaussian process; multivariate profile monitoring; non-separable covariance; statistical process control
Shiyu Zhou,Condition monitoring signals; Convolution process; Multitask learning; Multivariate Gaussian process; Remaining useful life
Shiyu Zhou,Condition monitoring (CM); external factors; multivariate Gaussian process (MGP); remaining useful life (RUL) prediction
Shiyu Zhou,
Shiyu Zhou,Attribute control chart; Jumping model; Statistical process monitoring
Shiyu Zhou,Damage prognosis; finite element methods (FEMs); hierarchical Bayesian model; Markov chain Monte Carlo (MCMC) method; structural health monitoring
Shiyu Zhou,Monotone B-splines; Noncrossing; Quantile regression; Variable selection
Shiyu Zhou,hidden Markov model; remote patient monitoring; smart asthma management
Shiyu Zhou,convolution process; manufacturing systems engineering; multi-output Gaussian process; performance measures; statistical methods
Shiyu Zhou,Bayesian inference; fault identification; piezoelectric impedance/admittance; pre-screening; sensitivity; uncertainty
Shiyu Zhou,Bayesian analysis; Contamination source identification; Inverse modeling; Uncertainty quantification; Water distribution network
Shiyu Zhou,"Metamodeling; Simulation optimization, separable covariance, non-separable covariance"
Shiyu Zhou,Information-theoretic measures; Maximum entropy approximation; Non-parametric distributions; Statistical process monitoring; ?2 test
Shiyu Zhou,Degradation signals; Imbalanced data; Mixture prior; Remaining useful life
Shiyu Zhou,
Shiyu Zhou,Laplace approximation; likelihood ratio tests; multivariate count data; statistical monitoring
Shiyu Zhou,
Shiyu Zhou,
Shiyu Zhou,Battery health management; Data-driven prognostic tools; Failure prognosis; Joint prognostic model; Logistic regression method; Real-time online model updating; Remaining useful life prediction; Weibull distribution
Shiyu Zhou,Condition monitoring signals; Constrained Kalman filter; Remaining useful life
Shiyu Zhou,average run length; Bayesian inference; multiple change-point model; steady-state detection
Shiyu Zhou,Gibbs sampling; hierarchical linear model (HLM); metal-matrix nanocomposites (MMNCs); model selection; Monte Carlo Markov chain; profile monitoring; quality control; variance heterogeneity
Shiyu Zhou,attribute control chart; multi-stream process monitoring; over-dispersed binary data monitoring
Shiyu Zhou,individualized prognosis; Remote patient monitoring; smart asthma management
Shiyu Zhou,Bi-directional slicing; Computer experiment; Experimental design; Qualitative factors; Sliced Latin hypercube design
Shiyu Zhou,Multiple change-point models; particle filters; process monitoring and control; steady-state detection
Shiyu Zhou,acoustic wave; metal matrix nanocomposites; microstructure modeling; numeric simulation; ultrasonic attenuation
Shiyu Zhou,diesel pollution control; mesoporous ceria; mesoporous ceria-zirconia; soot oxidation
Shiyu Zhou,interval prediction; maximum entropy; prediction power; Remaining useful life
Shiyu Zhou,CUSUM charts; Queueing systems; Sampling schemes; SPC
Shiyu Zhou,control chart; level sets; Maximum entropy
Shiyu Zhou,Change point; hard failure; joint prognostic model; remaining useful life prediction
Shiyu Zhou,Hough Transform; pattern detection; surface quality control
Shiyu Zhou,
Shiyu Zhou,hard failure; joint model; Remaining useful life prediction
Shiyu Zhou,statistical manufacturing process control
Shiyu Zhou,Clustering detection; Hypothesis testing; Metal matrix nanocomposites (MMNCs); Particle distribution
Shiyu Zhou,B-splines; free knot splines; knot selection; Lasso
Shiyu Zhou,
Shiyu Zhou,
Shiyu Zhou,Degradation signal; hard failure prognosis; mixed effects models; performance comparison
Shiyu Zhou,
Shiyu Zhou,Clustering index; Metal matrix nanocomposites; Particle distribution
Shiyu Zhou,Boundary effect; boundary index; Kolmogorov-Smirnov test; metal matrix nanocomposite; normalized log spacing statistic; particle capture
Shiyu Zhou,asymptotic convergence; B-spline surface; Kalman filter; sieves method
Shiyu Zhou,control chart; hazard rate; rank test; right censoring
Shiyu Zhou,Dimensional quality; Integrated emulation; Multistage assembly process; Surrogate modeling
Shiyu Zhou,Bayes factor; Logistic regression model; Markov chain Monte Carlo (MCMC); Outcome monitoring; Risk adjustment
Shiyu Zhou,average run length; M/G/1 queueing models; Markov chain; queue length; statistical monitoring
Shiyu Zhou,Cox proportional hazard model; Event logs; prediction power; variable selection
Shiyu Zhou,Computer experiment; Hypersphere decomposition; Kriging
Shiyu Zhou,condition-based maintenance; simulation optimisation; variability-sensitive decision making
Shiyu Zhou,Cycle time estimation; quantile regression; system throughput
Shiyu Zhou,change detection; reliability analysis; the Cox PH model
Shiyu Zhou,Control chart; Hough transform (HT); spatial pattern; surface quality control
Shiyu Zhou,GD&T characteristics; Homogeneous transformation matrices; Machining process; Mathematical modelling; Variation propagation
Shiyu Zhou,Multistage systems; Quality engineering; Variation modeling and reduction
Shiyu Zhou,
Shiyu Zhou,Multistage assembly; Surrogate modeling; Variation propagation
Shiyu Zhou,Detectability; Fault detection; Multivariate dynamic system; Statistical monitoring
Shiyu Zhou,Attribute control chart; Generalized ZIP; Statistical process control
Shiyu Zhou,Eigenprojection; Fault diagnosis; Fault signature; Integrated signature
Shiyu Zhou,Functional data analysis (FDA); Functional variable; Hitting rate; Hot rolling process; Surface quality control
Shiyu Zhou,Quality control; Relational dimension measurements; Variation source identification
Shiyu Zhou,Measurement errors; Multistage processes; Regression adjustment; Regressor selection; Variation propagation
Shiyu Zhou,Control chart; Generalized variance; Multivariate process variability; Statistical process control
Shiyu Zhou,Chain graph; d-separation; Graphical models; Multistage process; Partial correlation
Shiyu Zhou,Autobody assembly processes; Process fault; Sensor fault; Statistical quality control
Shiyu Zhou,Dimensional errors; Kinematic analysis; Multistage machining processes; Variation propagation
Shiyu Zhou,Cox proportional hazard model; Discrete event sequence; Failure event prediction; Failure signatures
Shiyu Zhou,Statistical pattern matching; Statistical testing; Unstructured noise; Variation source identification
Shiyu Zhou,Cycle-based waveform signals; Haar transformation; Multivariate control charts; Wavelet analysis
Shiyu Zhou,
Shiyu Zhou,
Shiyu Zhou,Eigenspace; Factor analysis; Principal component analysis; Variation reduction; Variation source identification
Shiyu Zhou,
Shiyu Zhou,
Shiyu Zhou,ARMAX model; Predictive control; Statistical process control; Supervisory strategies; Thin film deposition
Shiyu Zhou,Change-Point Detection; Clustering; Control Chart; Multivariate Analysis
Shiyu Zhou,
Shiyu Zhou,
Shiyu Zhou,
Shiyu Zhou,Hot Rolling Processes; Multi-Level Poisson Regression; Quality Control; Surface Defects
Shiyu Zhou,ARMAX model; Predictive control; Statistical process control; Supervisory strategies; Thin film deposition
Shiyu Zhou,
Shiyu Zhou,
Shiyu Zhou,Linear mixed model; Multistage manufacturing process; Root-cause identification; Variation propagation
Shiyu Zhou,
Shiyu Zhou,Manufacturing systems; Quality; Root cause identification; Variation reduction
Shiyu Zhou,Diagnosability analysis; Fault diagnosis; Multistage manufacturing process; Quality control; Variance components analysis
Shiyu Zhou,Differential motion vector; Multistage machining process; State space model; Variation propagation
Shiyu Zhou,
Shiyu Zhou,
Shiyu Zhou,Process diagnosis; Root cause identification; Variation propagation
Paul Campagnola,Collagen; Osteoarthritis; Scattering; Second harmonic generation
Paul Campagnola,collagen; crosslinking; polarization; second-harmonic generation; stiffness
Paul Campagnola,Collagen remodeling; HGSOC; Mass spectrometry; Precursor lesions; Second Harmonic Generation; STICs
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,Cadherin; Collagen; Cytoskeleton; Motility; Multiphoton excited; Ovarian stroma; Second-Harmonic Generation
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,Biomimetic; Collagen fibers; Migration; Multiphoton excitation
Paul Campagnola,
Paul Campagnola,collagen; fibrosis; polarization; scattering; second harmonic generation
Paul Campagnola,Biomimetic; Collagen fibers; Cytoskeleton; Motility; Multiphoton excitation; Second harmonic generation
Paul Campagnola,Collagen fibers; High grade; Image analysis; Second harmonic generation; STIC
Paul Campagnola,
Paul Campagnola,coherence; collagen second-harmonic generation; image analysis; prostate
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,Collagen; heart valve; imaging; microarchitecture; picrosirius red; RNAlater®; tissue preservation
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,collagen; ovarian cancer; polarization; second harmonic generation
Paul Campagnola,
Paul Campagnola,fluorescence microscopy; medical and biological imaging; nonlinear microscopy; ultrafast lasers
Paul Campagnola,
Paul Campagnola,collagen; ovarian cancer; second harmonic generation
Paul Campagnola,
Paul Campagnola,Breast cancer; Fabrication; Gradients; Haptotaxis; Migration; Ovarian cancer
Paul Campagnola,apoptosis; cardiomyocyte; endothelial cells; heart; myocardial infarction; tissue engineering
Paul Campagnola,
Paul Campagnola,Extracellular matrix (ECM); Optical scattering; Ovarian cancer; Second Harmonic Generation (SHG) imaging microscopy
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,Bone growth; Collagen; Mechanical tether; Periosteum; SHG
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,
Paul Campagnola,"Announcements, awards, news, and organizational activities; General"
